Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,47500.000000,51500.000000,47500.000000,50400.000000,38103.289063,511900
2000-01-05,49000.000000,49900.000000,47000.000000,47500.000000,35910.835938,388100
2000-01-06,47600.000000,48450.000000,42900.000000,43000.000000,32508.757813,624000
2000-01-07,43000.000000,43450.000000,40700.000000,41000.000000,30996.716797,542800
2000-01-10,43000.000000,43000.000000,41200.000000,41600.000000,31450.328125,737500
2000-01-11,42100.000000,43000.000000,41550.000000,41850.000000,31639.335938,535600
2000-01-12,41500.000000,41500.000000,39500.000000,40100.000000,30316.308594,446100
2000-01-13,40100.000000,42400.000000,39600.000000,42000.000000,31752.740234,594700
2000-01-14,42500.000000,45400.000000,42000.000000,44300.000000,33491.578125,816000
2000-01-17,45300.000000,45400.000000,43100.000000,45000.000000,34020.781250,804700
2000-01-18,44900.000000,44900.000000,43600.000000,44300.000000,33491.578125,541200
2000-01-19,44000.000000,44000.000000,42500.000000,42900.000000,32433.154297,569300
2000-01-20,42850.000000,48400.000000,42050.000000,45900.000000,34701.214844,713800
2000-01-21,45800.000000,47900.000000,44700.000000,45900.000000,34701.214844,666200
2000-01-24,46500.000000,47800.000000,46100.000000,46900.000000,35457.222656,458800
2000-01-25,45700.000000,46500.000000,45100.000000,45300.000000,34247.597656,310900
2000-01-26,45100.000000,45850.000000,43700.000000,44350.000000,33529.375000,331600
2000-01-27,43500.000000,45400.000000,43050.000000,44800.000000,33869.578125,342000
2000-01-28,44500.000000,45400.000000,44000.000000,45200.000000,34171.988281,288100
2000-01-31,44400.000000,45500.000000,44050.000000,44500.000000,33642.781250,308800
2000-02-01,45800.000000,47000.000000,45600.000000,45700.000000,34549.996094,888300
2000-02-02,46000.000000,46700.000000,45200.000000,46000.000000,34776.804688,447000
2000-02-03,45000.000000,46600.000000,45000.000000,45500.000000,34398.792969,443800
2000-02-04,45500.000000,45500.000000,45500.000000,45500.000000,34398.792969,0
2000-02-07,45900.000000,46500.000000,45500.000000,46000.000000,34776.804688,460900
2000-02-08,46500.000000,46950.000000,44850.000000,45200.000000,34171.988281,377500
2000-02-09,44700.000000,45700.000000,44500.000000,45400.000000,34323.199219,509800
2000-02-10,44950.000000,45400.000000,43200.000000,43550.000000,32924.558594,517400
2000-02-11,43400.000000,44450.000000,42300.000000,43600.000000,32962.363281,461500
2000-02-14,42050.000000,43000.000000,41300.000000,41400.000000,31299.125000,394800
2000-02-15,41400.000000,41950.000000,40500.000000,40800.000000,30845.515625,244500
2000-02-16,40800.000000,41700.000000,40400.000000,41550.000000,31412.531250,316100
2000-02-17,41550.000000,42500.000000,40800.000000,42400.000000,32055.126953,334000
2000-02-18,42400.000000,43000.000000,41000.000000,41000.000000,30996.716797,587800
2000-02-21,40500.000000,40800.000000,38600.000000,39300.000000,29711.486328,418900
2000-02-22,39000.000000,40500.000000,38000.000000,38000.000000,28728.660156,437000
2000-02-23,38300.000000,40800.000000,37100.000000,39000.000000,29484.677734,654500
2000-02-24,38500.000000,39000.000000,36750.000000,39000.000000,29484.677734,488100
2000-02-25,37800.000000,38400.000000,37400.000000,37400.000000,28275.054688,316300
2000-02-28,35100.000000,36600.000000,33000.000000,33000.000000,24948.574219,753800
2000-02-29,33900.000000,34200.000000,32150.000000,32900.000000,24872.978516,537600
2000-03-01,32900.000000,32900.000000,32900.000000,32900.000000,24872.978516,0
2000-03-02,33000.000000,36500.000000,33000.000000,36150.000000,27330.031250,904900
2000-03-03,35500.000000,35700.000000,34050.000000,34550.000000,26120.404297,484100
2000-03-06,34800.000000,37400.000000,34200.000000,35700.000000,26989.826172,805400
2000-03-07,36500.000000,37700.000000,35650.000000,36000.000000,27216.632813,765600
2000-03-08,35000.000000,36400.000000,34550.000000,36100.000000,27292.224609,356700
2000-03-09,36500.000000,36500.000000,34500.000000,34500.000000,26082.605469,425100
2000-03-10,35500.000000,36200.000000,35200.000000,36000.000000,27216.632813,407800
2000-03-13,35800.000000,35800.000000,34200.000000,34800.000000,26309.408203,315500
2000-03-14,34000.000000,34800.000000,33800.000000,34200.000000,25855.796875,233100
2000-03-15,33950.000000,34850.000000,33100.000000,34500.000000,26082.605469,327000
2000-03-16,35500.000000,36200.000000,34700.000000,35000.000000,26460.617188,432700
2000-03-17,36400.000000,40250.000000,35800.000000,40000.000000,30240.699219,2246500
2000-03-20,40100.000000,40800.000000,37700.000000,38600.000000,29182.271484,730500
2000-03-21,38100.000000,38500.000000,37100.000000,37300.000000,28199.453125,397300
